journal,impact_factor,quartile,jcr_quartile,cas_quartile,jif_rank,category,cas_top,open_access,source
PHYSIOTHERAPY THEORY AND PRACTICE,1.5,JCR Q2 / CAS 4区,Q2,CAS 4区,84/173,REHABILITATION(SCIE),否,否,2025 CAS/JCR user table
Phytobiomes Journal,2.6,JCR Q2 / CAS 3区,Q2,CAS 3区,91/273,MICROBIOLOGY(SCIE);PLANT SCIENCES(SCIE),否,是,2025 CAS/JCR user table
PHYTOCHEMICAL ANALYSIS,2.6,JCR Q2 / CAS 3区,Q2,CAS 3区,91/273,"BIOCHEMICAL RESEARCH METHODS(SCIE);CHEMISTRY, ANALYTICAL(SCIE);PLANT SCIENCES(SCIE)",否,否,2025 CAS/JCR user table
PHYTOCHEMISTRY,3.4,JCR Q1 / CAS 2区,Q1,CAS 2区,68/273,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Phytochemistry Letters,1.4,JCR Q3 / CAS 4区,Q3,CAS 4区,162/273,"CHEMISTRY, MEDICINAL(SCIE);PLANT SCIENCES(SCIE)",否,否,2025 CAS/JCR user table
PHYTOCHEMISTRY REVIEWS,7.6,JCR Q1 / CAS 2区,Q1,CAS 2区,15/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PHYTOCOENOLOGIA,0.9,JCR Q4 / CAS 4区,Q4,CAS 4区,211/273,ECOLOGY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PhytoFrontiers,1.1,JCR Q3,Q3,待核实,194/273,PLANT SCIENCES(ESCI),,,2025 CAS/JCR user table
PhytoKeys,1.5,JCR Q3 / CAS 3区,Q3,CAS 3区,149/273,PLANT SCIENCES(SCIE),否,是,2025 CAS/JCR user table
PHYTOMEDICINE,8.3,JCR Q1 / CAS 1区,Q1,CAS 1区,1/45,"CHEMISTRY, MEDICINAL(SCIE);INTEGRATIVE & COMPLEMENTARY MEDICINE(SCIE);PHARMACOLOGY & PHARMACY(SCIE);PLANT SCIENCES(SCIE)",是,否,2025 CAS/JCR user table
PHYTON-ANNALES REI BOTANICAE,待核实,CAS 4区,待核实,CAS 4区,,,否,否,2025 CAS/JCR user table
PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,1.2,JCR Q3 / CAS 4区,Q3,CAS 4区,188/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PHYTOPARASITICA,1.5,JCR Q2 / CAS 3区,Q2,CAS 3区,44/110,AGRONOMY(SCIE);ENTOMOLOGY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PHYTOPATHOLOGIA MEDITERRANEA,1.9,JCR Q2 / CAS 3区,Q2,CAS 3区,48/129,AGRONOMY(SCIE);PLANT SCIENCES(SCIE),否,是,2025 CAS/JCR user table
PHYTOPATHOLOGY,3.1,JCR Q2 / CAS 2区,Q2,CAS 2区,76/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Phytopathology Research,3.5,JCR Q1 / CAS 2区,Q1,CAS 2区,66/273,PLANT SCIENCES(SCIE),否,是,2025 CAS/JCR user table
PHYTOPROTECTION,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,269/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Phytotaxa,1.0,JCR Q3 / CAS 4区,Q3,CAS 4区,203/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PHYTOTHERAPY RESEARCH,6.3,JCR Q1 / CAS 2区,Q1,CAS 2区,30/352,"CHEMISTRY, MEDICINAL(SCIE);PHARMACOLOGY & PHARMACY(SCIE)",否,否,2025 CAS/JCR user table
Pielegniarstwo Chirurgiczne i Angiologiczne-Surgical and Vascular Nursing,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,181/192,NURSING(ESCI),否,否,2025 CAS/JCR user table
Pielegniarstwo XXI Wieku-Nursing in the 21 Century,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,177/192,NURSING(ESCI),否,是,2025 CAS/JCR user table
Pigment & Resin Technology,1.5,JCR Q3 / CAS 4区,Q3,CAS 4区,123/175,"CHEMISTRY, APPLIED(SCIE);ENGINEERING, CHEMICAL(SCIE);MATERIALS SCIENCE, COATINGS & FILMS(SCIE)",否,否,2025 CAS/JCR user table
Pigment Cell & Melanoma Research,2.6,JCR Q2 / CAS 3区,Q2,CAS 3区,38/96,CELL BIOLOGY(SCIE);DERMATOLOGY(SCIE);ONCOLOGY(SCIE),否,否,2025 CAS/JCR user table
Pilot and Feasibility Studies,1.6,JCR Q3 / CAS 4区,Q3,CAS 4区,142/195,"MEDICINE, RESEARCH & EXPERIMENTAL(ESCI)",否,是,2025 CAS/JCR user table
Pituitary,3.4,JCR Q2 / CAS 2区,Q2,CAS 2区,75/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,否,2025 CAS/JCR user table
Pixel-Bit- Revista de Medios y Educacion,1.8,JCR Q2 / CAS 4区,Q2,CAS 4区,232/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,是,2025 CAS/JCR user table
Place Branding and Public Diplomacy,1.9,JCR Q2 / CAS 4区,Q2,CAS 4区,69/139,"HOSPITALITY, LEISURE, SPORT & TOURISM(ESCI)",否,否,2025 CAS/JCR user table
PLACENTA,2.5,JCR Q2 / CAS 3区,Q2,CAS 3区,36/140,DEVELOPMENTAL BIOLOGY(SCIE);OBSTETRICS & GYNECOLOGY(SCIE);REPRODUCTIVE BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
Plainsong & Medieval Music,0.2,JCR N/A / CAS 1区,N/A,CAS 1区,N/A,MEDIEVAL & RENAISSANCE STUDIES(AHCI);MUSIC(AHCI),是,否,2025 CAS/JCR user table
PLANETARY AND SPACE SCIENCE,1.7,JCR Q3 / CAS 4区,Q3,CAS 4区,47/84,ASTRONOMY & ASTROPHYSICS(SCIE),否,否,2025 CAS/JCR user table
Planetary Science Journal,4.3,JCR Q2 / CAS 2区,Q2,CAS 2区,23/84,ASTRONOMY & ASTROPHYSICS(ESCI),否,是,2025 CAS/JCR user table
Plankton & Benthos Research,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,89/119,MARINE & FRESHWATER BIOLOGY(SCIE);OCEANOGRAPHY(SCIE),否,否,2025 CAS/JCR user table
Planlama-Planning,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,55/55,REGIONAL & URBAN PLANNING(ESCI),否,否,2025 CAS/JCR user table
Planning Perspectives,0.9,JCR Q1 / CAS 3区,Q1,CAS 3区,24/538,ARCHITECTURE(AHCI);HISTORY(AHCI);HISTORY OF SOCIAL SCIENCES(SSCI),否,否,2025 CAS/JCR user table
Planning Practice and Research,2.0,JCR Q3 / CAS 3区,Q3,CAS 3区,35/55,REGIONAL & URBAN PLANNING(ESCI),否,否,2025 CAS/JCR user table
Planning Theory,2.5,JCR Q2 / CAS 1区,Q2,CAS 1区,25/55,REGIONAL & URBAN PLANNING(SSCI),是,否,2025 CAS/JCR user table
Planning Theory & Practice,3.2,JCR Q1 / CAS 2区,Q1,CAS 2区,13/76,REGIONAL & URBAN PLANNING(SSCI);URBAN STUDIES(SSCI),否,否,2025 CAS/JCR user table
PLANT AND CELL PHYSIOLOGY,4.0,JCR Q1 / CAS 2区,Q1,CAS 2区,49/273,CELL BIOLOGY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PLANT AND SOIL,4.1,JCR Q1 / CAS 2区,Q1,CAS 2区,15/129,AGRONOMY(SCIE);PLANT SCIENCES(SCIE);SOIL SCIENCE(SCIE),否,否,2025 CAS/JCR user table
PLANT BIOLOGY,3.6,JCR Q1 / CAS 2区,Q1,CAS 2区,58/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PLANT BIOSYSTEMS,1.3,JCR Q3 / CAS 3区,Q3,CAS 3区,174/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Plant Biotechnology,1.1,JCR Q3 / CAS 4区,Q3,CAS 4区,194/273,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PLANT BIOTECHNOLOGY JOURNAL,10.5,JCR Q1 / CAS 1区,Q1,CAS 1区,8/273,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);PLANT SCIENCES(SCIE),是,是,2025 CAS/JCR user table
Plant Biotechnology Reports,1.6,JCR Q3 / CAS 4区,Q3,CAS 4区,139/273,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PLANT BREEDING,1.8,JCR Q2 / CAS 4区,Q2,CAS 4区,54/129,AGRONOMY(SCIE);BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PLANT CELL,11.6,JCR Q1 / CAS 1区,Q1,CAS 1区,6/273,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE);PLANT SCIENCES(SCIE),是,否,2025 CAS/JCR user table
PLANT CELL AND ENVIRONMENT,6.3,JCR Q1 / CAS 1区,Q1,CAS 1区,20/273,PLANT SCIENCES(SCIE),是,否,2025 CAS/JCR user table
PLANT CELL REPORTS,4.5,JCR Q1 / CAS 2区,Q1,CAS 2区,38/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PLANT CELL TISSUE AND ORGAN CULTURE,2.4,JCR Q2 / CAS 3区,Q2,CAS 3区,99/273,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Plant Communications,11.6,JCR Q1 / CAS 1区,Q1,CAS 1区,6/273,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);PLANT SCIENCES(SCIE),是,是,2025 CAS/JCR user table
Plant Direct,2.3,JCR Q2 / CAS 3区,Q2,CAS 3区,108/273,PLANT SCIENCES(SCIE),否,是,2025 CAS/JCR user table
PLANT DISEASE,4.4,JCR Q1 / CAS 2区,Q1,CAS 2区,41/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Plant Diversity,6.3,JCR Q1 / CAS 1区,Q1,CAS 1区,20/273,PLANT SCIENCES(SCIE),是,是,2025 CAS/JCR user table
PLANT ECOLOGY,1.7,JCR Q2 / CAS 4区,Q2,CAS 4区,38/92,ECOLOGY(SCIE);FORESTRY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Plant Ecology & Diversity,1.6,JCR Q3 / CAS 4区,Q3,CAS 4区,139/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Plant Ecology and Evolution,1.3,JCR Q3 / CAS 4区,Q3,CAS 4区,174/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PLANT FOODS FOR HUMAN NUTRITION,3.6,JCR Q1 / CAS 2区,Q1,CAS 2区,58/273,"CHEMISTRY, APPLIED(SCIE);FOOD SCIENCE & TECHNOLOGY(SCIE);NUTRITION & DIETETICS(SCIE);PLANT SCIENCES(SCIE)",否,否,2025 CAS/JCR user table
Plant Gene,1.6,JCR Q3 / CAS 4区,Q3,CAS 4区,139/273,GENETICS & HEREDITY(ESCI);PLANT SCIENCES(ESCI),否,否,2025 CAS/JCR user table
Plant Genetic Resources-Characterization and Utilization,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,231/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Plant Genome,3.8,JCR Q1 / CAS 2区,Q1,CAS 2区,52/273,GENETICS & HEREDITY(SCIE);PLANT SCIENCES(SCIE),否,是,2025 CAS/JCR user table
PLANT GROWTH REGULATION,3.9,JCR Q1 / CAS 3区,Q1,CAS 3区,50/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Plant Health Progress,1.2,JCR Q3 / CAS 4区,Q3,CAS 4区,188/273,PLANT SCIENCES(ESCI),否,否,2025 CAS/JCR user table
PLANT JOURNAL,5.7,JCR Q1 / CAS 1区,Q1,CAS 1区,24/273,PLANT SCIENCES(SCIE),是,否,2025 CAS/JCR user table
Plant Methods,4.4,JCR Q1 / CAS 2区,Q1,CAS 2区,13/86,BIOCHEMICAL RESEARCH METHODS(SCIE);PLANT SCIENCES(SCIE),否,是,2025 CAS/JCR user table
PLANT MOLECULAR BIOLOGY,3.8,JCR Q1 / CAS 3区,Q1,CAS 3区,52/273,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PLANT MOLECULAR BIOLOGY REPORTER,1.4,JCR Q3 / CAS 4区,Q3,CAS 4区,162/273,BIOCHEMICAL RESEARCH METHODS(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Plant Nano Biology,7.7,JCR Q1,Q1,待核实,14/273,NANOSCIENCE & NANOTECHNOLOGY(ESCI);PLANT SCIENCES(ESCI),,,2025 CAS/JCR user table
PLANT PATHOLOGY,2.4,JCR Q2 / CAS 3区,Q2,CAS 3区,33/129,AGRONOMY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Plant Pathology Journal,2.5,JCR Q2 / CAS 3区,Q2,CAS 3区,95/273,PLANT SCIENCES(SCIE),否,是,2025 CAS/JCR user table
Plant Phenomics,6.4,JCR Q1 / CAS 1区,Q1,CAS 1区,4/129,AGRONOMY(SCIE);PLANT SCIENCES(SCIE);REMOTE SENSING(SCIE),是,是,2025 CAS/JCR user table
PLANT PHYSIOLOGY,6.9,JCR Q1 / CAS 1区,Q1,CAS 1区,17/273,PLANT SCIENCES(SCIE),是,否,2025 CAS/JCR user table
PLANT PHYSIOLOGY AND BIOCHEMISTRY,5.7,JCR Q1 / CAS 2区,Q1,CAS 2区,24/273,PLANT SCIENCES(SCIE),是,否,2025 CAS/JCR user table
Plant Physiology Reports,1.6,JCR Q3 / CAS 4区,Q3,CAS 4区,139/273,PLANT SCIENCES(ESCI),否,否,2025 CAS/JCR user table
PLANT PRODUCTION SCIENCE,1.3,JCR Q3 / CAS 4区,Q3,CAS 4区,76/129,AGRONOMY(SCIE),否,是,2025 CAS/JCR user table
PLANT PROTECTION SCIENCE,1.4,JCR Q3 / CAS 3区,Q3,CAS 3区,74/129,AGRONOMY(SCIE);PLANT SCIENCES(SCIE),否,是,2025 CAS/JCR user table
Plant Reproduction,2.4,JCR Q2 / CAS 4区,Q2,CAS 4区,99/273,PLANT SCIENCES(SCIE);REPRODUCTIVE BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
Plant Root,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,269/273,PLANT SCIENCES(ESCI),否,否,2025 CAS/JCR user table
PLANT SCIENCE,4.1,JCR Q1 / CAS 2区,Q1,CAS 2区,45/273,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Plant Science Today,0.8,JCR Q4 / CAS 4区,Q4,CAS 4区,221/273,PLANT SCIENCES(ESCI),否,否,2025 CAS/JCR user table
Plant Signaling & Behavior,3.6,JCR Q1 / CAS 4区,Q1,CAS 4区,58/273,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PLANT SOIL AND ENVIRONMENT,1.8,JCR Q2 / CAS 3区,Q2,CAS 3区,54/129,AGRONOMY(SCIE),否,是,2025 CAS/JCR user table
PLANT SPECIES BIOLOGY,1.3,JCR Q3 / CAS 4区,Q3,CAS 4区,174/273,ECOLOGY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Plant Stress,6.9,JCR Q1 / CAS 2区,Q1,CAS 2区,17/273,PLANT SCIENCES(ESCI),否,否,2025 CAS/JCR user table
PLANT SYSTEMATICS AND EVOLUTION,1.6,JCR Q3 / CAS 3区,Q3,CAS 3区,139/273,EVOLUTIONARY BIOLOGY(SCIE);PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PLANTA,3.8,JCR Q1 / CAS 3区,Q1,CAS 3区,52/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PLANTA MEDICA,2.0,JCR Q2 / CAS 4区,Q2,CAS 4区,118/273,"CHEMISTRY, MEDICINAL(SCIE);INTEGRATIVE & COMPLEMENTARY MEDICINE(SCIE);PHARMACOLOGY & PHARMACY(SCIE);PLANT SCIENCES(SCIE)",否,否,2025 CAS/JCR user table
Plants People Planet,3.6,JCR Q1 / CAS 2区,Q1,CAS 2区,12/73,BIODIVERSITY CONSERVATION(SCIE);ECOLOGY(SCIE);PLANT SCIENCES(SCIE),否,是,2025 CAS/JCR user table
Plants-Basel,4.1,JCR Q1 / CAS 2区,Q1,CAS 2区,45/273,PLANT SCIENCES(SCIE),否,是,2025 CAS/JCR user table
Plaridel,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,216/227,COMMUNICATION(ESCI),否,否,2025 CAS/JCR user table
Plasma,1.7,JCR Q3 / CAS 4区,Q3,CAS 4区,27/41,"PHYSICS, FLUIDS & PLASMAS(ESCI)",否,是,2025 CAS/JCR user table
Plasma and Fusion Research,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,41/41,"PHYSICS, FLUIDS & PLASMAS(ESCI)",否,否,2025 CAS/JCR user table
PLASMA CHEMISTRY AND PLASMA PROCESSING,2.5,JCR Q2 / CAS 3区,Q2,CAS 3区,13/41,"ENGINEERING, CHEMICAL(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, FLUIDS & PLASMAS(SCIE)",否,否,2025 CAS/JCR user table
PLASMA PHYSICS AND CONTROLLED FUSION,2.3,JCR Q2 / CAS 2区,Q2,CAS 2区,20/41,"PHYSICS, FLUIDS & PLASMAS(SCIE)",否,否,2025 CAS/JCR user table
PLASMA PHYSICS REPORTS,1.1,JCR Q4 / CAS 4区,Q4,CAS 4区,34/41,"PHYSICS, FLUIDS & PLASMAS(SCIE)",否,否,2025 CAS/JCR user table
Plasma Processes and Polymers,2.9,JCR Q1 / CAS 3区,Q1,CAS 3区,9/41,"PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE);PHYSICS, FLUIDS & PLASMAS(SCIE);POLYMER SCIENCE(SCIE)",否,否,2025 CAS/JCR user table
PLASMA SCIENCE & TECHNOLOGY,1.8,JCR Q3 / CAS 3区,Q3,CAS 3区,24/41,"PHYSICS, FLUIDS & PLASMAS(SCIE)",否,否,2025 CAS/JCR user table
PLASMA SOURCES SCIENCE & TECHNOLOGY,3.3,JCR Q1 / CAS 2区,Q1,CAS 2区,7/41,"PHYSICS, FLUIDS & PLASMAS(SCIE)",否,否,2025 CAS/JCR user table
Plasmatology,0.6,JCR Q4 / CAS 4区,Q4,CAS 4区,91/98,HEMATOLOGY(ESCI),否,是,2025 CAS/JCR user table
PLASMID,2.2,JCR Q3 / CAS 4区,Q3,CAS 4区,110/191,GENETICS & HEREDITY(SCIE);MICROBIOLOGY(SCIE),否,否,2025 CAS/JCR user table
Plasmonics,4.3,JCR Q2 / CAS 3区,Q2,CAS 3区,177/460,"CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",否,否,2025 CAS/JCR user table
Plastic and Aesthetic Research,0.9,JCR Q3,Q3,待核实,229/312,SURGERY(ESCI),,,2025 CAS/JCR user table
PLASTIC AND RECONSTRUCTIVE SURGERY,3.4,JCR Q1 / CAS 2区,Q1,CAS 2区,41/312,SURGERY(SCIE),否,否,2025 CAS/JCR user table
Plastic and Reconstructive Surgery-Global Open,1.8,JCR Q2 / CAS 4区,Q2,CAS 4区,134/312,SURGERY(ESCI),否,是,2025 CAS/JCR user table
Plastic Surgery,0.6,JCR Q4 / CAS 4区,Q4,CAS 4区,263/312,SURGERY(SCIE),否,否,2025 CAS/JCR user table
PLASTICS RUBBER AND COMPOSITES,1.2,JCR Q4 / CAS 4区,Q4,CAS 4区,29/34,"MATERIALS SCIENCE, COMPOSITES(SCIE);POLYMER SCIENCE(SCIE)",否,否,2025 CAS/JCR user table
PLATELETS,2.6,JCR Q2 / CAS 3区,Q2,CAS 3区,42/98,CELL BIOLOGY(SCIE);HEMATOLOGY(SCIE),否,否,2025 CAS/JCR user table
Plato Journal,0.3,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,PHILOSOPHY(ESCI),否,是,2025 CAS/JCR user table
Pleura and Peritoneum,2.4,JCR Q1 / CAS 4区,Q1,CAS 4区,78/312,ONCOLOGY(ESCI);SURGERY(ESCI),否,是,2025 CAS/JCR user table
PLOS BIOLOGY,7.2,JCR Q1 / CAS 1区,Q1,CAS 1区,6/107,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOLOGY(SCIE),是,是,2025 CAS/JCR user table
PLOS Climate,5.1,JCR Q1,Q1,待核实,37/191,ENVIRONMENTAL SCIENCES(ESCI);ENVIRONMENTAL STUDIES(ESCI),,,2025 CAS/JCR user table
PLoS Computational Biology,3.6,JCR Q1 / CAS 2区,Q1,CAS 2区,12/67,BIOCHEMICAL RESEARCH METHODS(SCIE);MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE),否,是,2025 CAS/JCR user table
PLOS Digital Health,7.7,JCR Q1,Q1,待核实,7/185,HEALTH CARE SCIENCES & SERVICES(ESCI);MEDICAL INFORMATICS(ESCI),,,2025 CAS/JCR user table
PLoS Genetics,3.7,JCR Q2 / CAS 2区,Q2,CAS 2区,51/191,GENETICS & HEREDITY(SCIE),是,是,2025 CAS/JCR user table
PLOS Global Public Health,2.5,JCR Q2,Q2,待核实,145/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI)",,,2025 CAS/JCR user table
PLOS MEDICINE,9.9,JCR Q1 / CAS 1区,Q1,CAS 1区,13/332,"MEDICINE, GENERAL & INTERNAL(SCIE)",是,是,2025 CAS/JCR user table
PLoS Neglected Tropical Diseases,3.4,JCR Q1 / CAS 2区,Q1,CAS 2区,6/47,PARASITOLOGY(SCIE);TROPICAL MEDICINE(SCIE),否,是,2025 CAS/JCR user table
PLoS One,2.6,JCR Q2 / CAS 3区,Q2,CAS 3区,44/135,MULTIDISCIPLINARY SCIENCES(SCIE),否,是,2025 CAS/JCR user table
PLoS Pathogens,4.9,JCR Q1 / CAS 1区,Q1,CAS 1区,4/47,MICROBIOLOGY(SCIE);PARASITOLOGY(SCIE);VIROLOGY(SCIE),是,是,2025 CAS/JCR user table
PLOS Sustainability and Transformation,4.6,JCR Q1,Q1,待核实,43/191,ENVIRONMENTAL SCIENCES(ESCI);ENVIRONMENTAL STUDIES(ESCI),,,2025 CAS/JCR user table
PLOS Water,2.8,JCR Q2,Q2,待核实,50/131,ENVIRONMENTAL SCIENCES(ESCI);WATER RESOURCES(ESCI),,,2025 CAS/JCR user table
PLOUGHSHARES,<0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LITERARY REVIEWS(AHCI),否,否,2025 CAS/JCR user table
Plura-Revista de Estudos de Religiao,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,RELIGION(ESCI),否,否,2025 CAS/JCR user table
Pluralist,0.2,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,PHILOSOPHY(AHCI),否,否,2025 CAS/JCR user table
PM&R,2.8,JCR Q1 / CAS 4区,Q1,CAS 4区,24/173,REHABILITATION(SCIE);SPORT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,0.6,JCR N/A / CAS 2区,N/A,CAS 2区,N/A,LITERATURE(AHCI),否,否,2025 CAS/JCR user table
PNA-Revista de Investigacion en Didactica de la Matematica,0.7,JCR Q3 / CAS 4区,Q3,CAS 4区,62/86,"EDUCATION, SCIENTIFIC DISCIPLINES(ESCI)",否,是,2025 CAS/JCR user table
PNAS Nexus,3.8,JCR Q1 / CAS 3区,Q1,CAS 3区,13/271,"MULTIDISCIPLINARY SCIENCES(ESCI);SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
Pneuma,0.2,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,RELIGION(ESCI),否,否,2025 CAS/JCR user table
PNEUMOLOGIE,1.7,JCR Q3 / CAS 4区,Q3,CAS 4区,75/108,RESPIRATORY SYSTEM(ESCI),否,否,2025 CAS/JCR user table
Pneumon,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,100/108,RESPIRATORY SYSTEM(ESCI),否,是,2025 CAS/JCR user table
Pneumonia,6.2,JCR Q1 / CAS 3区,Q1,CAS 3区,11/108,RESPIRATORY SYSTEM(ESCI),否,是,2025 CAS/JCR user table
Poblacion y Salud en Mesoamerica,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,44/50,DEMOGRAPHY(ESCI),否,是,2025 CAS/JCR user table
Podium-Sport Leisure and Tourism Review,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,111/139,"HOSPITALITY, LEISURE, SPORT & TOURISM(ESCI)",否,是,2025 CAS/JCR user table
Poe Studies-History Theory Interpretation,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"LITERATURE, AMERICAN(AHCI)",否,否,2025 CAS/JCR user table
POETICA-ZEITSCHRIFT FUR SPRACH-UND LITERATURWISSENSCHAFT,<0.1,JCR N/A / CAS 3区,N/A,CAS 3区,N/A,LANGUAGE & LINGUISTICS(AHCI);LITERATURE(AHCI),否,否,2025 CAS/JCR user table
POETICS,1.7,JCR Q2 / CAS 2区,Q2,CAS 2区,82/219,LITERATURE(AHCI);SOCIOLOGY(SSCI),是,否,2025 CAS/JCR user table
POETICS TODAY,0.6,JCR N/A / CAS 2区,N/A,CAS 2区,N/A,LITERATURE(AHCI),否,否,2025 CAS/JCR user table
POETRY REVIEW,<0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,POETRY(AHCI),否,否,2025 CAS/JCR user table
POETRY WALES,<0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,POETRY(AHCI),否,否,2025 CAS/JCR user table
POLAR BIOLOGY,1.6,JCR Q3 / CAS 4区,Q3,CAS 4区,39/73,BIODIVERSITY CONSERVATION(SCIE);ECOLOGY(SCIE),否,否,2025 CAS/JCR user table
Polar Geography,1.6,JCR Q3 / CAS 3区,Q3,CAS 3区,49/67,"GEOGRAPHY, PHYSICAL(ESCI)",否,否,2025 CAS/JCR user table
Polar Journal,1.8,JCR Q1 / CAS 4区,Q1,CAS 4区,14/182,AREA STUDIES(ESCI);ENVIRONMENTAL STUDIES(ESCI);GEOGRAPHY(ESCI);INTERNATIONAL RELATIONS(ESCI),否,否,2025 CAS/JCR user table
POLAR RECORD,1.6,JCR Q3 / CAS 4区,Q3,CAS 4区,134/200,ECOLOGY(SCIE);ENVIRONMENTAL SCIENCES(SCIE),否,否,2025 CAS/JCR user table
POLAR RESEARCH,1.3,JCR Q3 / CAS 4区,Q3,CAS 4区,186/258,"ECOLOGY(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE);OCEANOGRAPHY(SCIE)",否,是,2025 CAS/JCR user table
Polar Science,2.0,JCR Q3 / CAS 4区,Q3,CAS 4区,111/200,"ECOLOGY(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",否,否,2025 CAS/JCR user table
Polar-Political and Legal Anthropology Review,1.3,JCR Q2 / CAS 2区,Q2,CAS 2区,41/141,ANTHROPOLOGY(SSCI),否,否,2025 CAS/JCR user table
